hotel_id,hotel_name,address,tel,region_id
1,Magic Castle Hotel,7025 Franklin Avenue,1 323-851-0800,1
2,Hotel Magic stone,701 Stone Canyon Rd.,1 310-472-1211,1
3,Magic Hotel Los Angeles,8435 Beverly Blvd,866-203-2212,1
4,Jerry's Magic Motel,285 Lucas Avenue,213-481-8181,1
5,The Line Magic,3515 Wilshire Blvd.,213-381-7411,2
6,Magic Sunset Boulevard Hotel,11461 Sunset Boulevard,310-476-6571,2
7,Hotel Magic stone,1697 Pacific Avenue,310-452-1111,2
8,The Surrey Magic,20 E. 76th Street,212-288-3700,2
9,The Mark Magic,Madison Avenue at 77th Street,866-744-4300,3
10,the Quin Magic,101 West 57th Street,212-245-7846,3
11,Library Magic Hotel,299 Madison Ave.,212-983-4500,3
12,Hotel Magic Elysee,60 E. 54th St.,212-753-1066,3
13,The Pearl Magic Hotel,233 West 49th Street,800-801-3457,4
14,The Broome Magic,431 Broome Street,212-431-2929,4
15,Magic Distrikt Hotel,342 West 40th Street,212-706-6100,4
16,The Magic Nolitan Hotel,30 Kenmare Street,212-925-2555,4
17,Affinia Magic Gardens,215 E 64th Street,212-355-1230,5
18,Hotel Le Soleil Magic ,567 Hornby St,877-632-3030,5
19,Opus Hotel Magic,322 Davie Street,866-642-6787,5
20,The Talbott Hotel Magic,20 East Delaware Place,+1 312-825-2688,5
21,Thompson Hotel Magic,21 E. Bellevue Place,+1 312-266-2100,5
